harness,suite,suite-bugbench,crashing,lang-c,lang-cpp,lang-rust,slow,fast,shallow,big,progress-24h,fuzzbench,requires-sjlj,buggy-harness-upstream,wasm-specific-crash,buggy-port,buggy-project
openssl-cmp.wasm,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
openssl-cms.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openssl-conf.wasm,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
openssl-crl.wasm,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
openssl-ct.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openssl-decoder.wasm,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
openssl-hashtable.wasm,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
openssl-pem.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openssl-provider.wasm,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
openssl-punycode.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openssl-server.wasm,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
openssl-smime.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openssl-v3name.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openssl-x509.wasm,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
pcre2-fuzzcheck.wasm,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
quick-xml-fuzz_target_1.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
quick-xml-structured_roundtrip.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
regalloc2-domtree.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
regalloc2-fastalloc_checker.wasm,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
regalloc2-ion.wasm,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
regalloc2-ion_checker.wasm,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
regalloc2-moves.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
regalloc2-ssagen.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
regex-ast_fuzz_match.wasm,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
regex-ast_fuzz_match_bytes.wasm,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
regex-ast_fuzz_regex.wasm,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
regex-ast_roundtrip.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
regex-fuzz_regex_automata_deserialize_dense_dfa.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
regex-fuzz_regex_automata_deserialize_sparse_dfa.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
regex-fuzz_regex_lite_match.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
